2_AA_Ctl	2_AA_Low	2_AB_Ctl	2_AB_Low	2_AC_Ctl	2_AC_Low	2_AD_Ctl	2_AD_Low	2_AW_Ctl	2_AW_Low	2_AX_Ctl	2_AX_Low	2_AZ_Ctl	2_AZ_Low	2_BA_Ctl	2_BA_Low	2_BB_Ctl	2_BB_Low	2_BC_Ctl	2_BC_Low	2_BD_Ctl	2_BD_Low	2_BW_Ctl	2_BW_Low	2_BX_Ctl	2_BX_Low	2_BZ_Ctl	2_BZ_Low	2_YA_Ctl	2_YA_Low	2_YB_Ctl	2_YB_Low	2_YC_Ctl	2_YC_Low	2_YD_Ctl	2_YD_Low	2_YW_Ctl	2_YW_Low	2_YX_Ctl	2_YX_Low	2_YZ_Ctl	2_YZ_Low
ERCC-00028	4	1	2	1	1	4	3	2	4	2	5	2	2	1	2	2	3	0	3	2	2	9	0	0	3	3	1	2	3	1	1	3	1	2	2	8	0	1	2	3	5	1
ERCC-00031	2	1	0	3	3	1	0	1	4	2	3	4	3	3	3	5	0	0	0	1	3	6	0	2	2	1	2	3	0	1	0	4	0	0	1	1	0	5	1	1	2	1
ERCC-00033	0	0	1	2	0	1	1	0	3	0	2	1	1	0	0	0	4	0	3	0	3	0	0	1	0	2	2	1	1	0	0	1	0	1	2	3	2	1	2	0	4	0
ERCC-00034	12	7	5	9	16	8	15	4	10	11	6	14	3	13	16	5	6	9	16	8	13	12	12	1	8	12	11	8	8	7	9	4	6	13	12	12	6	14	4	11	9	9
ERCC-00035	46	49	23	61	56	30	56	34	40	47	36	60	51	66	58	45	24	40	58	37	83	61	72	26	64	54	49	51	59	23	38	56	25	35	34	74	23	55	25	22	40	31
ERCC-00039	6	4	0	3	4	2	1	3	3	2	0	0	1	1	1	1	0	0	3	1	2	1	1	0	1	3	3	1	1	2	2	2	1	2	1	4	1	2	1	0	1	2
ERCC-00040	0	0	1	0	2	0	0	0	0	1	0	3	2	2	0	0	0	2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	1	1
ERCC-00041	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
ERCC-00042	408	408	238	377	554	309	412	184	427	321	401	329	391	529	503	416	278	335	547	342	603	543	385	291	478	331	424	324	272	224	274	366	211	318	297	701	206	581	220	214	344	203
ERCC-00043	429	415	193	370	479	262	314	204	427	240	399	293	305	345	433	421	243	303	545	310	623	606	330	325	428	269	329	272	298	216	267	337	179	238	281	598	202	396	179	193	284	171
ERCC-00044	27	18	4	22	22	9	50	17	17	26	14	36	11	19	41	21	11	16	56	16	60	29	37	14	12	21	41	26	22	15	12	35	21	18	18	42	15	56	16	17	38	17
ERCC-00046	2803	2599	1123	2322	2809	1663	2117	1415	2567	1667	2372	1795	1812	2292	2739	2708	1399	1810	3046	2218	4230	3297	2278	1816	2657	1849	2150	1947	1816	1397	1506	2233	1328	1676	1807	4415	1256	2886	1174	1461	2090	1184
ERCC-00048	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0
ERCC-00051	11	5	4	5	12	4	5	0	5	9	1	7	12	9	7	6	2	1	13	0	12	6	4	4	3	2	1	7	7	3	8	13	2	6	9	15	2	18	3	4	6	5
ERCC-00053	33	17	12	14	27	18	7	15	31	20	25	15	11	25	18	26	11	16	23	17	32	26	17	12	30	10	17	19	12	17	11	16	10	13	17	30	10	22	12	17	16	11
ERCC-00054	2	1	0	2	2	2	3	0	2	6	4	4	1	3	1	0	1	2	5	1	5	2	1	2	5	3	2	1	2	1	4	2	3	3	5	5	1	3	1	3	2	4
ERCC-00057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ERCC-00058	0	3	0	0	1	1	2	2	3	1	2	0	0	0	2	0	0	2	2	2	3	1	2	1	2	3	3	2	2	1	0	2	0	1	2	4	2	3	2	0	0	0
ERCC-00059	3	10	4	4	9	12	3	3	6	8	10	7	5	8	11	2	4	6	7	4	11	4	14	5	10	12	7	8	10	1	7	9	6	6	4	9	4	10	2	2	8	2
ERCC-00060	277	276	92	243	258	177	194	141	263	151	253	160	147	213	260	228	112	159	286	220	396	292	210	203	279	156	199	164	184	124	138	192	142	136	143	399	116	226	103	130	157	90
ERCC-00061	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ERCC-00062	61	66	30	49	55	26	45	40	71	44	57	44	32	48	67	66	47	33	72	52	85	89	60	49	57	45	44	43	32	35	27	35	24	29	38	99	37	56	26	35	41	18
ERCC-00067	0	0	0	1	4	1	0	2	1	0	1	1	2	2	2	4	0	0	1	1	0	0	1	0	0	2	2	0	1	0	0	0	1	3	1	0	1	2	0	2	1	1
ERCC-00069	2	1	0	2	0	0	0	3	2	0	0	1	3	1	0	1	1	1	1	0	3	3	3	2	1	3	1	3	0	0	2	0	0	1	2	2	1	2	1	0	1	0
ERCC-00071	19	36	16	23	40	17	33	19	37	22	12	24	32	25	36	31	14	22	34	32	41	19	27	16	23	23	31	23	26	16	19	31	19	23	21	51	16	45	9	19	29	17
ERCC-00073	1	1	0	1	0	1	0	0	2	0	0	1	0	0	1	0	0	0	0	0	1	2	2	1	1	0	3	2	0	0	1	0	1	2	2	0	0	0	0	2	0	0
ERCC-00074	10473	7990	3495	7560	9567	5438	6417	4695	7792	5261	8496	5715	6299	7534	9130	7914	4348	6027	11593	6386	13083	12236	7349	5501	8055	5949	6821	6352	5991	4429	5188	6824	4437	5452	5869	13129	3741	8275	3797	4790	6641	3758
ERCC-00075	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00076	96	108	43	96	114	78	89	50	107	67	63	65	100	101	95	93	75	84	115	69	151	106	104	61	94	63	74	70	52	61	64	81	59	61	83	145	44	122	48	56	88	54
ERCC-00077	0	0	0	3	0	0	2	0	2	0	2	3	1	2	2	1	0	1	4	3	1	3	0	1	4	2	2	1	1	0	0	3	0	1	2	3	0	2	0	1	2	0
ERCC-00078	37	35	14	25	34	15	31	17	25	19	23	26	23	28	42	22	18	22	39	21	31	26	42	18	28	23	30	36	22	14	14	31	16	25	19	27	13	50	12	16	36	12
ERCC-00079	31	33	21	36	35	22	28	15	39	17	39	29	26	38	38	24	20	23	40	34	46	39	35	31	20	26	31	26	18	18	22	35	12	24	30	50	19	32	20	21	44	25
ERCC-00081	0	0	0	0	1	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
ERCC-00083	0	1	0	0	4	0	0	0	0	1	1	0	0	1	2	0	0	0	2	0	0	0	2	0	0	1	2	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0
ERCC-00084	15	12	11	22	23	14	23	7	19	13	16	23	19	22	23	12	8	12	14	14	25	21	21	12	28	20	29	17	13	9	8	21	12	18	19	31	5	31	9	11	28	13
ERCC-00085	4	7	3	6	4	2	0	2	5	2	2	2	9	1	4	6	1	3	6	2	3	1	4	2	8	0	3	2	4	0	5	4	3	0	2	2	1	4	2	1	0	2
ERCC-00086	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0
ERCC-00092	164	249	120	291	288	160	270	88	202	195	143	228	273	272	336	238	107	191	244	182	309	200	289	155	262	206	243	251	189	119	162	275	154	171	193	274	98	325	90	116	257	168
ERCC-00095	112	46	14	76	79	42	67	43	41	62	73	50	41	44	100	55	17	36	109	26	141	102	77	42	40	48	70	60	54	26	45	62	30	51	36	131	20	84	40	49	77	35
ERCC-00096	10486	8901	4604	12255	12757	7408	10969	5275	9435	9696	7980	9824	10469	10818	12787	9485	5149	7598	13170	7592	17016	11889	12994	6017	10922	9235	12159	10550	8128	5017	6951	10542	6129	7994	8328	14481	4300	15226	5411	5757	11857	6752
ERCC-00097	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	2	1	1	0	0	0	1	2	0	0	0	0	0	0	0
ERCC-00098	0	0	1	0	2	4	1	0	2	2	0	1	1	0	1	0	1	1	0	0	0	1	1	0	0	1	3	4	2	0	0	2	0	4	0	0	0	2	0	0	1	3
ERCC-00099	17	16	9	10	17	10	10	8	13	16	15	12	17	13	9	18	7	8	19	17	15	20	8	9	14	7	17	17	10	7	8	13	6	9	11	8	7	9	10	3	13	12
ERCC-00104	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00108	806	839	487	955	1307	645	907	334	863	769	631	791	1105	1067	1217	872	553	856	1023	738	1231	898	1046	535	1032	739	887	842	734	474	653	954	505	698	754	959	447	1171	431	451	934	506
ERCC-00109	1	1	2	0	1	0	0	0	1	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	1	3	0	0	1	0
ERCC-00111	379	336	160	404	465	278	378	168	299	305	293	305	327	366	457	302	159	262	446	238	562	419	392	201	372	283	436	334	299	160	281	388	197	282	284	471	163	518	192	198	377	215
ERCC-00112	73	63	31	63	85	55	70	29	61	65	52	62	68	77	64	71	46	49	94	52	103	77	85	43	59	60	63	56	42	23	38	66	38	27	33	84	28	65	38	30	60	38
ERCC-00113	2046	2181	1121	2622	2905	1696	2290	1147	2312	1963	1695	1981	2497	2451	2937	2051	1222	1927	2845	1870	3707	2402	2671	1362	2520	1976	2430	2316	1790	1245	1538	2487	1327	1712	1889	3180	1103	3102	1052	1228	2453	1366
ERCC-00116	156	118	56	172	178	109	202	96	102	196	129	180	147	155	224	109	56	107	212	102	219	194	230	92	146	138	222	177	116	70	88	165	114	124	91	179	58	290	81	81	259	123
ERCC-00117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ERCC-00120	0	3	0	0	1	0	0	0	2	1	0	0	0	0	0	0	1	0	2	1	1	0	2	1	2	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1
ERCC-00123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0
ERCC-00126	3	0	0	2	2	0	2	2	0	3	0	2	0	1	0	2	1	1	3	1	7	5	2	1	3	0	5	1	2	1	0	1	0	0	1	5	0	4	0	0	3	0
ERCC-00130	19109	15325	7551	20174	21306	11923	18228	10113	14875	16037	16056	16048	16552	16957	21382	16530	8370	13386	25124	13700	32005	22398	21056	11419	17167	15087	19449	17472	14066	8415	11388	17886	10266	13561	13261	25975	8053	24902	9229	10281	19014	11111
ERCC-00131	94	81	37	87	118	67	85	34	88	69	66	77	77	89	103	74	40	68	113	93	127	90	93	64	94	72	101	75	75	48	63	85	66	69	66	144	32	111	40	47	103	57
ERCC-00134	2	0	0	1	1	0	0	0	1	0	0	0	0	0	1	3	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00136	918	564	314	861	863	482	1045	440	511	798	772	833	554	677	1077	634	349	504	1134	503	1283	1089	1043	472	639	713	1017	736	672	306	466	699	464	613	580	1382	287	1319	442	450	958	496
ERCC-00137	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	0	1	1	0	1	0	2	1	0	1	0	2	0	0	1	0	2	0	2	0	1	0	0	1	1	1	0
ERCC-00138	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
ERCC-00142	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ERCC-00143	1	1	1	7	2	0	3	1	1	2	1	2	2	4	2	3	0	1	6	5	1	1	1	1	1	1	5	3	2	1	2	1	1	1	0	3	0	5	0	0	6	1
ERCC-00144	7	15	8	16	6	12	16	5	7	7	13	8	13	17	24	11	7	12	7	14	25	8	8	7	5	6	11	4	7	2	10	11	5	7	10	30	7	15	8	2	13	8
ERCC-00145	481	488	321	519	542	312	465	221	553	373	353	398	468	547	552	511	353	384	606	451	769	553	546	328	577	398	465	409	324	288	298	432	270	334	458	668	276	557	243	264	470	248
ERCC-00147	0	3	0	0	1	0	1	0	0	1	0	1	1	1	0	0	1	1	1	3	0	2	1	0	1	5	2	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0
ERCC-00148	6	6	2	4	11	6	4	2	6	9	2	2	7	13	6	2	2	3	4	3	3	7	6	3	2	8	4	1	2	5	7	6	5	6	6	12	2	8	4	3	4	7
ERCC-00150	0	1	1	3	1	0	2	1	2	0	0	3	1	0	2	1	1	0	0	2	1	0	1	3	1	0	0	1	0	0	1	0	0	1	1	1	2	2	1	1	1	0
ERCC-00154	4	3	2	1	0	2	1	4	3	1	2	3	4	4	6	6	2	3	4	2	6	4	4	3	3	4	6	1	2	1	2	3	5	1	3	3	1	2	3	2	7	2
ERCC-00156	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
ERCC-00157	3	4	4	10	8	4	7	6	6	5	5	3	5	10	9	4	5	2	6	4	10	2	9	4	9	6	5	9	7	2	3	4	5	3	6	15	6	11	2	4	4	1
ERCC-00158	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	2	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1
ERCC-00160	8	10	2	15	12	7	8	2	3	9	5	2	10	11	16	10	4	9	10	8	18	6	16	3	8	9	12	10	10	5	5	10	6	9	9	10	4	10	5	8	11	4
ERCC-00162	30	36	22	31	44	29	31	20	33	27	32	26	37	38	41	44	20	32	34	22	47	51	30	30	40	15	34	40	23	19	19	23	25	18	37	65	14	52	21	17	26	27
ERCC-00163	8	8	3	7	9	11	12	3	7	11	8	8	15	10	9	10	1	7	10	6	13	6	8	4	12	6	5	6	7	7	5	6	9	9	7	12	6	15	4	4	13	6
ERCC-00164	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0
ERCC-00165	24	33	15	38	45	24	36	14	35	45	28	26	22	33	54	40	17	39	41	34	55	43	37	19	36	31	32	31	30	17	18	34	28	31	27	43	11	66	27	13	28	23
ERCC-00168	1	2	0	0	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0
ERCC-00170	17	19	8	19	10	13	8	11	17	15	16	16	9	14	17	21	6	7	21	12	29	20	22	10	14	18	17	12	17	11	11	16	7	4	18	18	10	15	5	11	15	11
ERCC-00171	2542	2374	1194	2609	3358	1767	2202	1022	2596	1927	1857	1934	2672	2630	3153	2106	1435	2072	3145	2067	3545	2770	2535	1382	2567	1938	2233	2259	1956	1290	1840	2509	1331	1890	2057	3929	1022	2893	1168	1293	2361	1382
